Blink_sample_diff,error,metodo
50,0,ear
57,7,ear
42,-8,ear
48,-2,ear
96,46,ear
25,-25,ear
45,-5,ear
54,4,ear
56,6,ear
52,2,ear
53,3,ear
47,-3,ear
176,126,ear
60,10,ear
56,6,dist
54,4,dist
54,4,dist
59,9,dist
66,16,dist
15,-35,dist
44,-6,dist
54,4,dist
53,3,dist
52,2,dist
9,-41,dist
50,0,dist
93,43,dist
59,9,dist
60,10,col
69,19,col
2,-48,col
83,33,col
63,13,col
11,-39,col
61,11,col
54,4,col
79,29,col
105,55,col
36,-14,col
27,-23,col
3,-47,col
85,35,col
52,2,corr
56,6,corr
67,17,corr
68,18,corr
105,55,corr
49,-1,corr
67,17,corr
71,21,corr
64,14,corr
75,25,corr
40,-10,corr
59,9,corr
25,-25,corr
53,3,corr
